"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
02/12/2021 15:51:38,Buy,,1.00000000,ETH,1.00000000,1827.53,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,1827.53,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,26.83,USD,,
02/13/2021 20:00:24,Receive,,0.00010633,BTC,0.00010633,4.99,Coinbase - BTC Wallet,,,Received Bitcoin From Coinbase,,,,,,,,,,,,
02/22/2021 13:06:58,Buy,,0.02672078,ETH,1.02672078,50.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,50.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,1.99,USD,,
02/23/2021 04:49:32,Buy,,0.02956831,ETH,1.05628909,50.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,50.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,1.99,USD,,
02/26/2021 06:49:47,Buy,,5.74944100,ATOM,5.74944100,100.00,Coinbase - ATOM Wallet,,,Bought Cosmos Using Chase - TOTAL CHECKING *****6925,100.00,USD,,,Coinbase - Cash (USD),,,Bought Cosmos Using Chase - TOTAL CHECKING *****6925,2.99,USD,,
02/27/2021 01:44:08,Receive,,0.02520231,NMR,0.02520231,1.00,Coinbase - NMR Wallet,,Payment,Received Numeraire From Coinbase Earn,,,,,,,,,,,,
02/27/2021 01:45:01,Receive,,0.02522087,NMR,0.05042318,1.00,Coinbase - NMR Wallet,,Payment,Received Numeraire From Coinbase Earn,,,,,,,,,,,,
02/27/2021 01:46:01,Receive,,0.02513839,NMR,0.07556157,0.99,Coinbase - NMR Wallet,,Payment,Received Numeraire From Coinbase Earn,,,,,,,,,,,,
02/27/2021 01:47:14,Receive,,0.56220835,GRT,0.56220835,1.00,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,,,,,,,,,,
02/27/2021 01:48:02,Receive,,0.56249297,GRT,1.12470132,1.00,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,,,,,,,,,,
02/27/2021 01:48:53,Receive,,0.56261956,GRT,1.68732088,1.00,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,,,,,,,,,,
02/27/2021 17:47:49,Trade,,0.00223263,ETH,1.05852172,3.37,Coinbase - ETH Wallet,,,Converted from Numeraire Using NMR Wallet,0.07556157,NMR,0.00000000,2.99,Coinbase - NMR Wallet,,,Converted from Numeraire Using NMR Wallet,,,0.38,
02/27/2021 17:52:54,Trade,,0.00189629,ETH,1.06041801,2.87,Coinbase - ETH Wallet,,,Converted from The Graph Using GRT Wallet,1.68732088,GRT,0.00000000,3.00,Coinbase - GRT Wallet,,,Converted from The Graph Using GRT Wallet,,,-0.13,
02/28/2021 16:05:44,Buy,,1.00000000,ETH,2.06041801,1368.63,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,1368.63,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,20.09,USD,,
03/03/2021 05:50:12,Receive,,4.75850580,XLM,4.75850580,2.01,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,,,,,,,,,,
03/03/2021 05:50:43,Receive,,4.75523610,XLM,9.51374190,2.01,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,,,,,,,,,,
03/03/2021 05:51:04,Receive,,4.75523610,XLM,14.26897800,2.01,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,,,,,,,,,,
