date,CRO_cashflow,CRO_cml_units,CRO_cml_cost,CRO_gain_loss,CRO_avg_price,ADA_cashflow,ADA_cml_units,ADA_cml_cost,ADA_gain_loss,ADA_avg_price,BTC_cashflow,BTC_cml_units,BTC_cml_cost,BTC_gain_loss,BTC_avg_price,USDM_cashflow,USDM_cml_units,USDM_cml_cost,USDM_gain_loss,USDM_avg_price,VET_cashflow,VET_cml_units,VET_cml_cost,VET_gain_loss,VET_avg_price,USDC_cashflow,USDC_cml_units,USDC_cml_cost,USDC_gain_loss,USDC_avg_price,ONE_cashflow,ONE_cml_units,ONE_cml_cost,ONE_gain_loss,ONE_avg_price,DOGE_cashflow,DOGE_cml_units,DOGE_cml_cost,DOGE_gain_loss,DOGE_avg_price,AUDIO_cashflow,AUDIO_cml_units,AUDIO_cml_cost,AUDIO_gain_loss,AUDIO_avg_price,HBAR_cashflow,HBAR_cml_units,HBAR_cml_cost,HBAR_gain_loss,HBAR_avg_price,USD_cashflow,USD_cml_units,USD_cml_cost,USD_gain_loss,USD_avg_price
2021-03-04,-6134.0,400.0,6134.0,0.0,15.335,-12159.0,300.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,-12458.0,200.0,0.0,0.0,0.0,-13185.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,-38306.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,,,,,,-29300.6,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,,,,,,-32554.1,0.0,0.0,0.0,,,,,,,-4222.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-17,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-18,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-19,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-20,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-21,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-22,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-23,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-24,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-25,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-26,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-27,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-28,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-29,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-8876.0,24050.0,0.0,-8876.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-04-30,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-11639.6,23850.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-3171.0,4512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-01,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-11639.6,23850.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-3171.0,4512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-02,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8766.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-03,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8766.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-04,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8766.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-05,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8766.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-06,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-1969.58,230.75,0.0,-1969.58,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8766.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-07,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-2004.1499999999999,186.37,0.0,-34.57,0.0,-8969.0,4362.0,0.0,0.0,0.0,-8828.26,10.5,0.0,-62.26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-08,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-09,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-10,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-11,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-12,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-13,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-14,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-15,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-16,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-17,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-18,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-19,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-20,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-21,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-22,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-23,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-24,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-25,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-26,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2021-05-27,-38306.0,0.0,0.0,0.0,,-32554.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-4222.4,0.0,0.0,0.0,,-22465.800000000003,23730.0,0.0,0.0,0.0,-6080.349999999999,162.26,0.0,-4076.2,0.0,-8969.0,4362.0,0.0,0.0,0.0,-22206.309999999998,0.0,0.0,0.0,,-1399.75,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
