date,CRO_adj_close,CRO_cashflow,CRO_cml_units,CRO_cml_cost,CRO_gain_loss,CRO_avg_price,CRO_mktvalue,ADA_adj_close,ADA_cashflow,ADA_cml_units,ADA_cml_cost,ADA_gain_loss,ADA_avg_price,ADA_mktvalue,BTC_adj_close,BTC_cashflow,BTC_cml_units,BTC_cml_cost,BTC_gain_loss,BTC_avg_price,BTC_mktvalue,USDM_adj_close,USDM_cashflow,USDM_cml_units,USDM_cml_cost,USDM_gain_loss,USDM_avg_price,USDM_mktvalue,VET_adj_close,VET_cashflow,VET_cml_units,VET_cml_cost,VET_gain_loss,VET_avg_price,VET_mktvalue,USDC_adj_close,USDC_cashflow,USDC_cml_units,USDC_cml_cost,USDC_gain_loss,USDC_avg_price,USDC_mktvalue,ONE_adj_close,ONE_cashflow,ONE_cml_units,ONE_cml_cost,ONE_gain_loss,ONE_avg_price,ONE_mktvalue,DOGE_adj_close,DOGE_cashflow,DOGE_cml_units,DOGE_cml_cost,DOGE_gain_loss,DOGE_avg_price,DOGE_mktvalue,AUDIO_adj_close,AUDIO_cashflow,AUDIO_cml_units,AUDIO_cml_cost,AUDIO_gain_loss,AUDIO_avg_price,AUDIO_mktvalue,HBAR_adj_close,HBAR_cashflow,HBAR_cml_units,HBAR_cml_cost,HBAR_gain_loss,HBAR_avg_price,HBAR_mktvalue,USD_adj_close,USD_cashflow,USD_cml_units,USD_cml_cost,USD_gain_loss,USD_avg_price,USD_mktvalue
2021-03-04,,-6134.0,400.0,6134.0,0.0,15.335,,,-12159.0,300.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,,-12458.0,200.0,0.0,0.0,0.0,,,-13185.3,200.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,,-38306.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,,,,,,,,,-29300.6,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,,,,,,,,,-32554.1,0.0,0.0,0.0,,,,,,,,,,,-4222.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2.80176564,-38306.0,0.0,0.0,0.0,,0.0,2.80176564,-32554.1,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,-4222.4,0.0,0.0,0.0,,0.0,2.80176564,-8876.0,24050.0,0.0,-8876.0,0.0,67382.464,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0,2.80176564,0.0,0.0,0.0,0.0,,0.0
2021-04-17,3.32740555,-38306.0,0.0,0.0,0.0,,0.0,3.32740555,-32554.1,0.0,0.0,0.0,,0.0,3.32740555,0.0,0.0,0.0,0.0,,0.0,3.32740555,-4222.4,0.0,0.0,0.0,,0.0,3.32740555,-8876.0,24050.0,0.0,-8876.0,0.0,80024.103,3.32740555,-1969.58,230.75,0.0,-1969.58,0.0,767.799,3.32740555,0.0,0.0,0.0,0.0,,0.0,3.32740555,0.0,0.0,0.0,0.0,,0.0,3.32740555,0.0,0.0,0.0,0.0,,0.0,3.32740555,0.0,0.0,0.0,0.0,,0.0,3.32740555,0.0,0.0,0.0,0.0,,0.0
2021-04-18,2.72880449,-38306.0,0.0,0.0,0.0,,0.0,2.72880449,-32554.1,0.0,0.0,0.0,,0.0,2.72880449,0.0,0.0,0.0,0.0,,0.0,2.72880449,-4222.4,0.0,0.0,0.0,,0.0,2.72880449,-8876.0,24050.0,0.0,-8876.0,0.0,65627.748,2.72880449,-1969.58,230.75,0.0,-1969.58,0.0,629.672,2.72880449,0.0,0.0,0.0,0.0,,0.0,2.72880449,0.0,0.0,0.0,0.0,,0.0,2.72880449,0.0,0.0,0.0,0.0,,0.0,2.72880449,0.0,0.0,0.0,0.0,,0.0,2.72880449,0.0,0.0,0.0,0.0,,0.0
2021-04-19,3.21585769,-38306.0,0.0,0.0,0.0,,0.0,3.21585769,-32554.1,0.0,0.0,0.0,,0.0,3.21585769,0.0,0.0,0.0,0.0,,0.0,3.21585769,-4222.4,0.0,0.0,0.0,,0.0,3.21585769,-8876.0,24050.0,0.0,-8876.0,0.0,77341.377,3.21585769,-1969.58,230.75,0.0,-1969.58,0.0,742.059,3.21585769,0.0,0.0,0.0,0.0,,0.0,3.21585769,0.0,0.0,0.0,0.0,,0.0,3.21585769,0.0,0.0,0.0,0.0,,0.0,3.21585769,0.0,0.0,0.0,0.0,,0.0,3.21585769,0.0,0.0,0.0,0.0,,0.0
2021-04-20,1.78047952,-38306.0,0.0,0.0,0.0,,0.0,1.78047952,-32554.1,0.0,0.0,0.0,,0.0,1.78047952,0.0,0.0,0.0,0.0,,0.0,1.78047952,-4222.4,0.0,0.0,0.0,,0.0,1.78047952,-8876.0,24050.0,0.0,-8876.0,0.0,42820.532,1.78047952,-1969.58,230.75,0.0,-1969.58,0.0,410.846,1.78047952,0.0,0.0,0.0,0.0,,0.0,1.78047952,0.0,0.0,0.0,0.0,,0.0,1.78047952,0.0,0.0,0.0,0.0,,0.0,1.78047952,0.0,0.0,0.0,0.0,,0.0,1.78047952,0.0,0.0,0.0,0.0,,0.0
2021-04-21,1.78860275,-38306.0,0.0,0.0,0.0,,0.0,1.78860275,-32554.1,0.0,0.0,0.0,,0.0,1.78860275,0.0,0.0,0.0,0.0,,0.0,1.78860275,-4222.4,0.0,0.0,0.0,,0.0,1.78860275,-8876.0,24050.0,0.0,-8876.0,0.0,43015.896,1.78860275,-1969.58,230.75,0.0,-1969.58,0.0,412.72,1.78860275,0.0,0.0,0.0,0.0,,0.0,1.78860275,0.0,0.0,0.0,0.0,,0.0,1.78860275,0.0,0.0,0.0,0.0,,0.0,1.78860275,0.0,0.0,0.0,0.0,,0.0,1.78860275,0.0,0.0,0.0,0.0,,0.0
2021-04-22,1.78316698,-38306.0,0.0,0.0,0.0,,0.0,1.78316698,-32554.1,0.0,0.0,0.0,,0.0,1.78316698,0.0,0.0,0.0,0.0,,0.0,1.78316698,-4222.4,0.0,0.0,0.0,,0.0,1.78316698,-8876.0,24050.0,0.0,-8876.0,0.0,42885.166,1.78316698,-1969.58,230.75,0.0,-1969.58,0.0,411.466,1.78316698,0.0,0.0,0.0,0.0,,0.0,1.78316698,0.0,0.0,0.0,0.0,,0.0,1.78316698,0.0,0.0,0.0,0.0,,0.0,1.78316698,0.0,0.0,0.0,0.0,,0.0,1.78316698,0.0,0.0,0.0,0.0,,0.0
2021-04-23,1.59401673,-38306.0,0.0,0.0,0.0,,0.0,1.59401673,-32554.1,0.0,0.0,0.0,,0.0,1.59401673,0.0,0.0,0.0,0.0,,0.0,1.59401673,-4222.4,0.0,0.0,0.0,,0.0,1.59401673,-8876.0,24050.0,0.0,-8876.0,0.0,38336.102,1.59401673,-1969.58,230.75,0.0,-1969.58,0.0,367.819,1.59401673,0.0,0.0,0.0,0.0,,0.0,1.59401673,0.0,0.0,0.0,0.0,,0.0,1.59401673,0.0,0.0,0.0,0.0,,0.0,1.59401673,0.0,0.0,0.0,0.0,,0.0,1.59401673,0.0,0.0,0.0,0.0,,0.0
2021-04-24,1.42193463,-38306.0,0.0,0.0,0.0,,0.0,1.42193463,-32554.1,0.0,0.0,0.0,,0.0,1.42193463,0.0,0.0,0.0,0.0,,0.0,1.42193463,-4222.4,0.0,0.0,0.0,,0.0,1.42193463,-8876.0,24050.0,0.0,-8876.0,0.0,34197.528,1.42193463,-1969.58,230.75,0.0,-1969.58,0.0,328.111,1.42193463,0.0,0.0,0.0,0.0,,0.0,1.42193463,0.0,0.0,0.0,0.0,,0.0,1.42193463,0.0,0.0,0.0,0.0,,0.0,1.42193463,0.0,0.0,0.0,0.0,,0.0,1.42193463,0.0,0.0,0.0,0.0,,0.0
2021-04-25,1.45385169,-38306.0,0.0,0.0,0.0,,0.0,1.45385169,-32554.1,0.0,0.0,0.0,,0.0,1.45385169,0.0,0.0,0.0,0.0,,0.0,1.45385169,-4222.4,0.0,0.0,0.0,,0.0,1.45385169,-8876.0,24050.0,0.0,-8876.0,0.0,34965.133,1.45385169,-1969.58,230.75,0.0,-1969.58,0.0,335.476,1.45385169,0.0,0.0,0.0,0.0,,0.0,1.45385169,0.0,0.0,0.0,0.0,,0.0,1.45385169,0.0,0.0,0.0,0.0,,0.0,1.45385169,0.0,0.0,0.0,0.0,,0.0,1.45385169,0.0,0.0,0.0,0.0,,0.0
2021-04-26,1.58988603,-38306.0,0.0,0.0,0.0,,0.0,1.58988603,-32554.1,0.0,0.0,0.0,,0.0,1.58988603,0.0,0.0,0.0,0.0,,0.0,1.58988603,-4222.4,0.0,0.0,0.0,,0.0,1.58988603,-8876.0,24050.0,0.0,-8876.0,0.0,38236.759,1.58988603,-1969.58,230.75,0.0,-1969.58,0.0,366.866,1.58988603,0.0,0.0,0.0,0.0,,0.0,1.58988603,0.0,0.0,0.0,0.0,,0.0,1.58988603,0.0,0.0,0.0,0.0,,0.0,1.58988603,0.0,0.0,0.0,0.0,,0.0,1.58988603,0.0,0.0,0.0,0.0,,0.0
2021-04-27,2.00889826,-38306.0,0.0,0.0,0.0,,0.0,2.00889826,-32554.1,0.0,0.0,0.0,,0.0,2.00889826,0.0,0.0,0.0,0.0,,0.0,2.00889826,-4222.4,0.0,0.0,0.0,,0.0,2.00889826,-8876.0,24050.0,0.0,-8876.0,0.0,48314.003,2.00889826,-1969.58,230.75,0.0,-1969.58,0.0,463.553,2.00889826,0.0,0.0,0.0,0.0,,0.0,2.00889826,0.0,0.0,0.0,0.0,,0.0,2.00889826,0.0,0.0,0.0,0.0,,0.0,2.00889826,0.0,0.0,0.0,0.0,,0.0,2.00889826,0.0,0.0,0.0,0.0,,0.0
2021-04-28,1.95114107,-38306.0,0.0,0.0,0.0,,0.0,1.95114107,-32554.1,0.0,0.0,0.0,,0.0,1.95114107,0.0,0.0,0.0,0.0,,0.0,1.95114107,-4222.4,0.0,0.0,0.0,,0.0,1.95114107,-8876.0,24050.0,0.0,-8876.0,0.0,46924.943,1.95114107,-1969.58,230.75,0.0,-1969.58,0.0,450.226,1.95114107,0.0,0.0,0.0,0.0,,0.0,1.95114107,0.0,0.0,0.0,0.0,,0.0,1.95114107,0.0,0.0,0.0,0.0,,0.0,1.95114107,0.0,0.0,0.0,0.0,,0.0,1.95114107,0.0,0.0,0.0,0.0,,0.0
2021-04-29,1.42675013,-38306.0,0.0,0.0,0.0,,0.0,1.42675013,-32554.1,0.0,0.0,0.0,,0.0,1.42675013,0.0,0.0,0.0,0.0,,0.0,1.42675013,-4222.4,0.0,0.0,0.0,,0.0,1.42675013,-8876.0,24050.0,0.0,-8876.0,0.0,34313.341,1.42675013,-1969.58,230.75,0.0,-1969.58,0.0,329.223,1.42675013,0.0,0.0,0.0,0.0,,0.0,1.42675013,0.0,0.0,0.0,0.0,,0.0,1.42675013,0.0,0.0,0.0,0.0,,0.0,1.42675013,0.0,0.0,0.0,0.0,,0.0,1.42675013,0.0,0.0,0.0,0.0,,0.0
2021-04-30,1.35109219,-38306.0,0.0,0.0,0.0,,0.0,1.35109219,-32554.1,0.0,0.0,0.0,,0.0,1.35109219,0.0,0.0,0.0,0.0,,0.0,1.35109219,-4222.4,0.0,0.0,0.0,,0.0,1.35109219,-11639.6,23850.0,0.0,0.0,0.0,32223.549,1.35109219,-1969.58,230.75,0.0,-1969.58,0.0,311.765,1.35109219,-3171.0,4512.0,0.0,0.0,0.0,6096.128,1.35109219,0.0,0.0,0.0,0.0,,0.0,1.35109219,0.0,0.0,0.0,0.0,,0.0,1.35109219,0.0,0.0,0.0,0.0,,0.0,1.35109219,0.0,0.0,0.0,0.0,,0.0
2021-05-01,1.50035129,-38306.0,0.0,0.0,0.0,,0.0,1.50035129,-32554.1,0.0,0.0,0.0,,0.0,1.50035129,0.0,0.0,0.0,0.0,,0.0,1.50035129,-4222.4,0.0,0.0,0.0,,0.0,1.50035129,-11639.6,23850.0,0.0,0.0,0.0,35783.378,1.50035129,-1969.58,230.75,0.0,-1969.58,0.0,346.206,1.50035129,-3171.0,4512.0,0.0,0.0,0.0,6769.585,1.50035129,0.0,0.0,0.0,0.0,,0.0,1.50035129,0.0,0.0,0.0,0.0,,0.0,1.50035129,0.0,0.0,0.0,0.0,,0.0,1.50035129,0.0,0.0,0.0,0.0,,0.0
2021-05-02,1.55010179,-38306.0,0.0,0.0,0.0,,0.0,1.55010179,-32554.1,0.0,0.0,0.0,,0.0,1.55010179,0.0,0.0,0.0,0.0,,0.0,1.55010179,-4222.4,0.0,0.0,0.0,,0.0,1.55010179,-22465.800000000003,23730.0,0.0,0.0,0.0,36783.915,1.55010179,-1969.58,230.75,0.0,-1969.58,0.0,357.686,1.55010179,-8969.0,4362.0,0.0,0.0,0.0,6761.544,1.55010179,-8766.0,160.5,0.0,0.0,0.0,248.791,1.55010179,0.0,0.0,0.0,0.0,,0.0,1.55010179,0.0,0.0,0.0,0.0,,0.0,1.55010179,0.0,0.0,0.0,0.0,,0.0
2021-05-03,1.90981156,-38306.0,0.0,0.0,0.0,,0.0,1.90981156,-32554.1,0.0,0.0,0.0,,0.0,1.90981156,0.0,0.0,0.0,0.0,,0.0,1.90981156,-4222.4,0.0,0.0,0.0,,0.0,1.90981156,-22465.800000000003,23730.0,0.0,0.0,0.0,45319.828,1.90981156,-1969.58,230.75,0.0,-1969.58,0.0,440.689,1.90981156,-8969.0,4362.0,0.0,0.0,0.0,8330.598,1.90981156,-8766.0,160.5,0.0,0.0,0.0,306.525,1.90981156,0.0,0.0,0.0,0.0,,0.0,1.90981156,0.0,0.0,0.0,0.0,,0.0,1.90981156,0.0,0.0,0.0,0.0,,0.0
2021-05-04,1.46501275,-38306.0,0.0,0.0,0.0,,0.0,1.46501275,-32554.1,0.0,0.0,0.0,,0.0,1.46501275,0.0,0.0,0.0,0.0,,0.0,1.46501275,-4222.4,0.0,0.0,0.0,,0.0,1.46501275,-22465.800000000003,23730.0,0.0,0.0,0.0,34764.753,1.46501275,-1969.58,230.75,0.0,-1969.58,0.0,338.052,1.46501275,-8969.0,4362.0,0.0,0.0,0.0,6390.386,1.46501275,-8766.0,160.5,0.0,0.0,0.0,235.135,1.46501275,0.0,0.0,0.0,0.0,,0.0,1.46501275,0.0,0.0,0.0,0.0,,0.0,1.46501275,0.0,0.0,0.0,0.0,,0.0
2021-05-05,1.84549755,-38306.0,0.0,0.0,0.0,,0.0,1.84549755,-32554.1,0.0,0.0,0.0,,0.0,1.84549755,0.0,0.0,0.0,0.0,,0.0,1.84549755,-4222.4,0.0,0.0,0.0,,0.0,1.84549755,-22465.800000000003,23730.0,0.0,0.0,0.0,43793.657,1.84549755,-1969.58,230.75,0.0,-1969.58,0.0,425.849,1.84549755,-8969.0,4362.0,0.0,0.0,0.0,8050.06,1.84549755,-8766.0,160.5,0.0,0.0,0.0,296.202,1.84549755,0.0,0.0,0.0,0.0,,0.0,1.84549755,0.0,0.0,0.0,0.0,,0.0,1.84549755,0.0,0.0,0.0,0.0,,0.0
2021-05-06,1.7079685,-38306.0,0.0,0.0,0.0,,0.0,1.7079685,-32554.1,0.0,0.0,0.0,,0.0,1.7079685,0.0,0.0,0.0,0.0,,0.0,1.7079685,-4222.4,0.0,0.0,0.0,,0.0,1.7079685,-22465.800000000003,23730.0,0.0,0.0,0.0,40530.093,1.7079685,-1969.58,230.75,0.0,-1969.58,0.0,394.114,1.7079685,-8969.0,4362.0,0.0,0.0,0.0,7450.159,1.7079685,-8766.0,160.5,0.0,0.0,0.0,274.129,1.7079685,0.0,0.0,0.0,0.0,,0.0,1.7079685,0.0,0.0,0.0,0.0,,0.0,1.7079685,0.0,0.0,0.0,0.0,,0.0
2021-05-07,1.36281389,-38306.0,0.0,0.0,0.0,,0.0,1.36281389,-32554.1,0.0,0.0,0.0,,0.0,1.36281389,0.0,0.0,0.0,0.0,,0.0,1.36281389,-4222.4,0.0,0.0,0.0,,0.0,1.36281389,-22465.800000000003,23730.0,0.0,0.0,0.0,32339.574,1.36281389,-2004.1499999999999,186.37,0.0,-34.57,0.0,253.988,1.36281389,-8969.0,4362.0,0.0,0.0,0.0,5944.594,1.36281389,-8828.26,10.5,0.0,-62.26,0.0,14.31,1.36281389,0.0,0.0,0.0,0.0,,0.0,1.36281389,0.0,0.0,0.0,0.0,,0.0,1.36281389,0.0,0.0,0.0,0.0,,0.0
2021-05-08,1.69659231,-38306.0,0.0,0.0,0.0,,0.0,1.69659231,-32554.1,0.0,0.0,0.0,,0.0,1.69659231,0.0,0.0,0.0,0.0,,0.0,1.69659231,-4222.4,0.0,0.0,0.0,,0.0,1.69659231,-22465.800000000003,23730.0,0.0,0.0,0.0,40260.136,1.69659231,-6080.349999999999,162.26,0.0,-4076.2,0.0,275.289,1.69659231,-8969.0,4362.0,0.0,0.0,0.0,7400.536,1.69659231,-22206.309999999998,0.0,0.0,0.0,,0.0,1.69659231,-1399.75,50.0,0.0,0.0,0.0,84.83,1.69659231,0.0,0.0,0.0,0.0,,0.0,1.69659231,0.0,0.0,0.0,0.0,,0.0
2021-05-09,1.49807681,-38306.0,0.0,0.0,0.0,,0.0,1.49807681,-32554.1,0.0,0.0,0.0,,0.0,1.49807681,0.0,0.0,0.0,0.0,,0.0,1.49807681,-4222.4,0.0,0.0,0.0,,0.0,1.49807681,-22465.800000000003,23730.0,0.0,0.0,0.0,35549.363,1.49807681,-6080.349999999999,162.26,0.0,-4076.2,0.0,243.078,1.49807681,-8969.0,4362.0,0.0,0.0,0.0,6534.611,1.49807681,-22206.309999999998,0.0,0.0,0.0,,0.0,1.49807681,-1399.75,50.0,0.0,0.0,0.0,74.904,1.49807681,0.0,0.0,0.0,0.0,,0.0,1.49807681,0.0,0.0,0.0,0.0,,0.0
2021-05-10,1.36360558,-38306.0,0.0,0.0,0.0,,0.0,1.36360558,-32554.1,0.0,0.0,0.0,,0.0,1.36360558,0.0,0.0,0.0,0.0,,0.0,1.36360558,-4222.4,0.0,0.0,0.0,,0.0,1.36360558,-22465.800000000003,23730.0,0.0,0.0,0.0,32358.36,1.36360558,-6080.349999999999,162.26,0.0,-4076.2,0.0,221.259,1.36360558,-8969.0,4362.0,0.0,0.0,0.0,5948.048,1.36360558,-22206.309999999998,0.0,0.0,0.0,,0.0,1.36360558,-1399.75,50.0,0.0,0.0,0.0,68.18,1.36360558,0.0,0.0,0.0,0.0,,0.0,1.36360558,0.0,0.0,0.0,0.0,,0.0
2021-05-11,1.34041884,-38306.0,0.0,0.0,0.0,,0.0,1.34041884,-32554.1,0.0,0.0,0.0,,0.0,1.34041884,0.0,0.0,0.0,0.0,,0.0,1.34041884,-4222.4,0.0,0.0,0.0,,0.0,1.34041884,-22465.800000000003,23730.0,0.0,0.0,0.0,31808.139,1.34041884,-6080.349999999999,162.26,0.0,-4076.2,0.0,217.496,1.34041884,-8969.0,4362.0,0.0,0.0,0.0,5846.907,1.34041884,-22206.309999999998,0.0,0.0,0.0,,0.0,1.34041884,-1399.75,50.0,0.0,0.0,0.0,67.021,1.34041884,0.0,0.0,0.0,0.0,,0.0,1.34041884,0.0,0.0,0.0,0.0,,0.0
2021-05-12,1.3156038,-38306.0,0.0,0.0,0.0,,0.0,1.3156038,-32554.1,0.0,0.0,0.0,,0.0,1.3156038,0.0,0.0,0.0,0.0,,0.0,1.3156038,-4222.4,0.0,0.0,0.0,,0.0,1.3156038,-22465.800000000003,23730.0,0.0,0.0,0.0,31219.278,1.3156038,-6080.349999999999,162.26,0.0,-4076.2,0.0,213.47,1.3156038,-8969.0,4362.0,0.0,0.0,0.0,5738.664,1.3156038,-22206.309999999998,0.0,0.0,0.0,,0.0,1.3156038,-1399.75,50.0,0.0,0.0,0.0,65.78,1.3156038,0.0,0.0,0.0,0.0,,0.0,1.3156038,0.0,0.0,0.0,0.0,,0.0
