date,CRO_mktvalue,ADA_mktvalue,BTC_mktvalue,ONE_mktvalue,VET_mktvalue,USDC_mktvalue,DOGE_mktvalue,AUDIO_mktvalue,portf_value,sp500_mktvalue,ptf_value_pctch,sp500_pctch,ptf_value_diff,sp500_diff
2021-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4185.47021484375,,,,
2021-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4163.259765625,,-0.53,0.0,-22.21
2021-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.93994140625,,-0.68,0.0,-28.32
2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173.419921875,,0.93,0.0,38.48
2021-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.97998046875,,-0.92,0.0,-38.44
2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180.169921875,,1.09,0.0,45.19
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4187.6201171875,,0.18,0.0,7.45
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4186.72021484375,,-0.02,0.0,-0.9
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.18017578125,,-0.08,0.0,-3.54
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4211.47021484375,,0.68,0.0,28.29
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4181.169921875,,-0.72,0.0,-30.3
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4192.66015625,,0.27,0.0,11.49
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.66015625,,-0.67,0.0,-28.0
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4167.58984375,,0.07,0.0,2.93
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4201.6201171875,,0.82,0.0,34.03
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4232.60009765625,,0.74,0.0,30.98
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4188.43017578125,,-1.04,0.0,-44.17
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.10009765625,,-0.87,0.0,-36.33
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.0400390625,,-2.14,0.0,-89.06
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.5,,1.22,0.0,49.46
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173.85009765625,,1.49,0.0,61.35
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4163.2900390625,,-0.25,0.0,-10.56
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4127.830078125,,-0.85,0.0,-35.46
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4115.68017578125,,-0.29,0.0,-12.15
2021-05-20,1385603.62,1385603.62,1385603.62,1385603.62,1385603.62,1385603.62,1385603.62,1385603.62,0.0,4159.1201171875,,1.06,0.0,43.44
2021-05-21,1192397.63,1192397.63,1192397.63,1192397.63,1192397.63,1192397.63,1192397.63,1192397.63,0.0,4155.85986328125,,-0.08,0.0,-3.26
2021-05-24,1221083.68,1221083.68,1221083.68,1221083.68,1221083.68,1221083.68,1221083.68,1221083.68,0.0,4197.0498046875,,0.99,0.0,41.19
2021-05-25,946759.08,946759.08,946759.08,946759.08,946759.08,946759.08,946759.08,946759.08,0.0,4188.1298828125,,-0.21,0.0,-8.92
2021-05-26,1045746.91,1045746.91,1045746.91,1045746.91,1045746.91,1045746.91,1045746.91,1045746.91,0.0,4195.990234375,,0.19,0.0,7.86
2021-05-27,982010.94,982010.94,982010.94,982010.94,982010.94,982010.94,982010.94,982010.94,0.0,4200.8798828125,,0.12,0.0,4.89
2021-05-28,924480.34,924480.34,924480.34,924480.34,924480.34,924480.34,924480.34,924480.34,0.0,4204.10986328125,,0.08,0.0,3.23
2021-06-01,1059303.15,1059303.15,1059303.15,1059303.15,1059303.15,1059303.15,1059303.15,1059303.15,0.0,4202.0400390625,,-0.05,0.0,-2.07
2021-06-02,1051201.2,1051201.2,1051201.2,1051201.2,1051201.2,1051201.2,1051201.2,1051201.2,0.0,4208.1201171875,,0.14,0.0,6.08
2021-06-03,1014943.35,1014943.35,1014943.35,1014943.35,1014943.35,1014943.35,1014943.35,1014943.35,0.0,4192.85009765625,,-0.36,0.0,-15.27
2021-06-04,781992.67,781992.67,781992.67,781992.67,781992.67,781992.67,781992.67,781992.67,0.0,4229.89013671875,,0.88,0.0,37.04
2021-06-07,731045.25,731045.25,731045.25,731045.25,731045.25,731045.25,731045.25,731045.25,0.0,4226.52001953125,,-0.08,0.0,-3.37
2021-06-08,671942.91,671942.91,671942.91,671942.91,671942.91,671942.91,671942.91,671942.91,0.0,4227.259765625,,0.02,0.0,0.74
2021-06-09,749011.81,749011.81,749011.81,749011.81,749011.81,749011.81,749011.81,749011.81,0.0,4219.5498046875,,-0.18,0.0,-7.71
2021-06-10,663518.95,663518.95,663518.95,663518.95,663518.95,663518.95,663518.95,663518.95,0.0,4239.18017578125,,0.47,0.0,19.63
2021-06-11,886901.51,886901.51,886901.51,886901.51,886901.51,886901.51,886901.51,886901.51,0.0,4247.43994140625,,0.19,0.0,8.26
2021-06-14,698194.14,698194.14,698194.14,698194.14,698194.14,698194.14,698194.14,698194.14,0.0,4255.14990234375,,0.18,0.0,7.71
2021-06-15,719659.27,719659.27,719659.27,719659.27,719659.27,719659.27,719659.27,719659.27,0.0,4246.58984375,,-0.2,0.0,-8.56
2021-06-16,589255.09,589255.09,589255.09,589255.09,589255.09,589255.09,589255.09,589255.09,0.0,4223.7001953125,,-0.54,0.0,-22.89
2021-06-17,671613.05,671613.05,671613.05,671613.05,671613.05,671613.05,671613.05,671613.05,0.0,4221.85986328125,,-0.04,0.0,-1.84
2021-06-18,713494.25,713494.25,713494.25,713494.25,713494.25,713494.25,713494.25,713494.25,0.0,4166.4501953125,,-1.31,0.0,-55.41
