index_date,CRO_mktvalue,ADA_mktvalue,BTC_mktvalue,ONE_mktvalue,VET_mktvalue,USDC_mktvalue,DOGE_mktvalue,AUDIO_mktvalue,portf_value,sp500_mktvalue,ptf_value_pctch,sp500_pctch,ptf_value_diff,sp500_diff
2021-04-16,0.0,0.0,0.006,9212.205,0.0,0.0,0.0,0.0,9212.211,4185.47021484375,,,,
2021-04-19,0.0,0.0,0.007,10573.74,57659.364,-142.732,0.0,0.0,68090.379,4163.259765625,639.13,-0.53,58878.17,-22.21
2021-04-20,0.0,0.0,0.004,5854.217,31923.464,-79.024,0.0,0.0,37698.661,4134.93994140625,-44.63,-0.68,-30391.72,-28.32
2021-04-21,0.0,0.0,0.004,5880.926,32069.111,-79.385,0.0,0.0,37870.655999999995,4173.419921875,0.46,0.93,171.99,38.48
2021-04-22,0.0,0.0,0.004,5863.053,31971.649,-79.144,0.0,0.0,37755.562,4134.97998046875,-0.3,-0.92,-115.09,-38.44
2021-04-23,0.0,0.0,0.004,5241.127,28580.242,-70.748,0.0,0.0,33750.625,4180.169921875,-10.61,1.09,-4004.94,45.19
2021-04-26,0.0,0.0,0.004,5227.545,28506.18,-70.565,0.0,0.0,33663.164,4187.6201171875,-0.26,0.18,-87.46,7.45
2021-04-27,0.0,0.0,0.005,6605.257,36018.943,-89.162,0.0,0.0,42535.043000000005,4186.72021484375,26.35,-0.02,8871.88,-0.9
2021-04-28,0.0,0.0,0.004,6415.352,34983.374,-86.599,0.0,0.0,41312.131,4183.18017578125,-2.88,-0.08,-1222.91,-3.54
2021-04-29,0.0,0.0,0.003,4691.154,25581.202,-63.324,0.0,0.0,30209.035,4211.47021484375,-26.88,0.68,-11103.1,28.29
2021-04-30,0.0,0.0,0.003,4442.391,24224.678,-59.966,0.0,0.0,28607.106,4181.169921875,-5.3,-0.72,-1601.93,-30.3
2021-05-03,0.0,0.0,0.004,5435.324,33631.209,-84.765,286.472,0.0,39268.244000000006,4192.66015625,37.27,0.27,10661.14,11.49
2021-05-04,0.0,0.0,0.003,4169.426,25798.435,-65.023,219.752,0.0,30122.593,4164.66015625,-23.29,-0.67,-9145.65,-28.0
2021-05-05,0.0,0.0,0.004,5252.286,32498.658,-81.91,276.825,0.0,37945.86299999999,4167.58984375,25.97,0.07,7823.27,2.93
2021-05-06,0.0,0.0,0.004,4860.878,30076.813,-75.806,256.195,0.0,35118.084,4201.6201171875,-7.45,0.82,-2827.78,34.03
2021-05-07,0.0,0.0,0.003,3878.568,23998.744,-60.487,204.422,0.0,28021.249999999996,4232.60009765625,-20.21,0.74,-7096.83,30.98
2021-05-10,0.0,0.0,0.003,3545.375,23698.374,-60.522,0.0,86.766,27269.996,4188.43017578125,-2.68,-1.04,-751.25,-44.17
2021-05-11,0.0,0.0,0.003,3485.089,23295.407,-59.493,0.0,85.291,26806.297000000002,4152.10009765625,-1.7,-0.87,-463.7,-36.33
2021-05-12,0.0,0.0,0.003,3420.57,22864.142,-58.391,0.0,83.712,26310.036,4063.0400390625,-1.85,-2.14,-496.26,-89.06
2021-05-13,0.0,0.0,0.003,2974.029,19879.323,-50.769,0.0,72.784,22875.37,4112.5,-13.05,1.22,-3434.67,49.46
2021-05-14,0.0,0.0,0.003,3063.209,20475.43,-52.291,0.0,74.966,23561.317,4173.85009765625,3.0,1.49,685.95,61.35
2021-05-17,0.0,0.0,0.002,1869.744,12497.943,-31.918,0.0,45.758,14381.528999999999,4163.2900390625,-38.96,-0.25,-9179.79,-10.56
